rank,score,badge_name,level_name,priority,l1_header,l2_category,l3_category,ibm_link,bp_link
128,10,IBM LinuxONE Sales Foundation V2,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM LinuxONE,https://yourlearning.ibm.com/activity/PLAN-77EC3EC058FA,https://learn.ibm.com/course/view.php?id=11304
129,10,IBM LinuxONE 5 Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM LinuxONE,https://yourlearning.ibm.com/activity/PLAN-78BB8C7C3494,https://learn.ibm.com/course/view.php?id=18211
130,10,Infosys Finacle on IBM LinuxONE Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,Ecosystem,https://yourlearning.ibm.com/activity/PLAN-34F3B2797FF2,
131,10,Temenos Transact on IBM LinuxONE Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,Ecosystem,https://yourlearning.ibm.com/activity/PLAN-C58BF1695F5A,
132,10,MongoDB on IBM LinuxONE Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,Ecosystem,https://yourlearning.ibm.com/activity/PLAN-E418BFD4DE77,
133,0,FinOps Certified Practitioner,L0,advanced,Automation Platform,Technology Business Management,Observability,https://forms.monday.com/forms/40a96283b63ed18baaa5be09dd198d75?r=use1,
134,0,T urbonomic Practitioner Mastery,L4-Mastery,advanced,Automation Platform,Technology Business Management,Observability,https://w3.ibm.com/hr/badge-me/badge/68824eafd41df65e44058f16,
135,0,IBM zStack Expertise,L0,advanced,Transaction Processing Platform,IBM Z,IBM zStack,,https://learn.ibm.com/course/view.php?id=16581
136,0,IBM Z Business Partner Technical Solution Planning,L0,advanced,Transaction Processing Platform,IBM Z,IBM zStack,,https://learn.ibm.com/course/view.php?id=8738
137,0,IBM Z Cyber Resiliency Technical Advisor,L0,advanced,Transaction Processing Platform,IBM Z,IBM zStack,https://yourlearning.ibm.com/activity/PLAN-A4906E881664,https://learn.ibm.com/course/view.php?id=11323
